actor_name,num_movies
Jenifer Lewis,5
Warren Beatty,5
Estella Warren,5
Michael Rispoli,5
Armando Riesco,5
Alex Borstein,5
Burt Young,5
Ben Gazzara,5
Rosie Perez,5
Michael Imperioli,5
Bernard Hill,5
Miranda Otto,5
Denis Leary,5
Adrian Martinez,5
Brandon T. Jackson,5
Joely Richardson,5
Bella Thorne,5
Jesse McCartney,5
Rachael Harris,5
Wanda Sykes,5
William Smith,5
Rosemarie DeWitt,5
Dean Stockwell,5
Gabourey Sidibe,5
Zoe Kazan,5
Tom Noonan,5
Raymond Cruz,5
Seth MacFarlane,5
Katy Mixon,5
Bailee Madison,5
Charles Napier,5
Richard Tyson,5
Larenz Tate,5
Mia Farrow,5
Austin Pendleton,5
Tim Meadows,5
Jonathan Winters,5
Max Ryan,5
Jerry Stiller,5
Christina Milian,5
Lou Taylor Pucci,5
Brian Geraghty,5
John Amos,5
Nicole Beharie,5
LeVar Burton,5
Dexter Fletcher,5
Gregg Henry,5
Laurence Olivier,5
50 Cent,5
Gary Farmer,5
Maury Chaykin,5
Lily Tomlin,5
Sydney Pollack,5
Meat Loaf,5
Brittany Daniel,5
Haley Bennett,5
Clarence Williams III,5
Saffron Burrows,5
Peter Greene,5
Alison Brie,5
Cathy Moriarty,5
Mia Kirshner,5
Louis Lombardi,5
Ken Marino,5
Willie Garson,5
Shawn Roberts,5
Leighton Meester,5
Noureen DeWulf,5
Ricky Schroder,5
Erika Christensen,5
J.T. Walsh,5
Brady Corbet,5
Quentin Tarantino,5
Rob Paulsen,5
Lupe Ontiveros,5
Rupert Graves,5
David Costabile,5
Celia Imrie,5
Joan Chen,5
Agnes Bruckner,5
Muse Watson,5
Dwight Yoakam,5
Bradley Whitford,5
Brian Doyle-Murray,5
Crystal Lowe,5
Jane Fonda,5
Rod Steiger,5
Shea Whigham,5
Henry Thomas,5
Omari Hardwick,5
Daniel Mays,5
Wilford Brimley,5
Robert Davi,5
Tony Chiu Wai Leung,5
Nadine Velazquez,5
Powers Boothe,5
Matthew Perry,5
Busy Philipps,5
John Doman,5
Mira Sorvino,5
Geraldine Chaplin,5
Jason Robards,5
James Brolin,5
Andy Lau,5
François Cluzet,5
Dagmara Dominczyk,5
Alexandra Maria Lara,5
Laura Harring,5
Quinton Aaron,5
Aimee Garcia,5
Walter Koenig,5
Steven Mackintosh,5
Steve Howey,5
Wendell Pierce,5
Rachel Blanchard,5
Kyra Sedgwick,5
Illeana Douglas,5
Judy Davis,5
Andrea Martin,5
Joey Lauren Adams,5
Fionnula Flanagan,5
Jurnee Smollett-Bell,5
Daniel Stern,5
Cameron Bright,5
Rebecca De Mornay,5
Mary McCormack,5
Tatyana Ali,5
Ryan O'Neal,5
Embeth Davidtz,5
Greta Gerwig,5
Essence Atkins,5
David Arquette,5
Dan Hedaya,5
Zachary Gordon,5
Jason Mewes,5
Geoff Stults,5
Lynn Cohen,5
Nia Vardalos,5
Esai Morales,5
Paul Schneider,5
Jack Warden,5
Karl Malden,5
Lynn Redgrave,5
Robert Shaw,5
Sid Haig,5
Sid Caesar,5
Danny Dyer,5
Barbara Hershey,5
Michael Berryman,5
Lena Dunham,5
Sam Claflin,4
Michael Stuhlbarg,4
Aidan Turner,4
Bingbing Li,4
Sophia Myles,4
Temuera Morrison,4
Peter Capaldi,4
Mireille Enos,4
Tzi Ma,4
Dana Ivey,4
Tom McCarthy,4
Tye Sheridan,4
Ike Barinholtz,4
Sharlto Copley,4
Sam Riley,4
Kodi Smit-McPhee,4
Tamsin Egerton,4
Damon Wayans Jr.,4
Judd Hirsch,4
Mackenzie Foy,4
Fiona Shaw,4
David Kelly,4
Lily James,4
Aasif Mandvi,4
Jake Weber,4
Matt Craven,4
Michael Nyqvist,4
Ming-Na Wen,4
James D'Arcy,4
Penelope Wilton,4
Sandra Ellis Lafferty,4
Jim Parsons,4
Matt Jones,4
Rick Gonzalez,4
Mackenzie Crook,4
Dave Legeno,4
Aaron Stanford,4
Alexa Davalos,4
Marshall Bell,4
T.J. Thyne,4
Peter Fonda,4
Theo James,4
Nancy O'Dell,4
Billy Boyd,4
Benedict Wong,4
Oliver Reed,4
Erick Avari,4
S. Epatha Merkerson,4
Jason Alexander,4
Eartha Kitt,4
Wendie Malick,4
John Fiedler,4
Stephen Collins,4
Anthony LaPaglia,4
Christopher Heyerdahl,4
Ingrid Bolsø Berdal,4
Anna Friel,4
Bobb'e J. Thompson,4
Felicity Huffman,4
Trevor Morgan,4
Alessandro Nivola,4
Joan Plowright,4
Harvey Fierstein,4
Cree Summer,4
Greg Grunberg,4
Kim Dickens,4
Curtiss Cook,4
Alun Armstrong,4
Natascha McElhone,4
Caroline Dhavernas,4
Tchéky Karyo,4
Chris Elliott,4
Jason Cope,4
Adrienne Barbeau,4
Jason Scott Lee,4
David Ogden Stiers,4
Nicholas Turturro,4
David Paymer,4
Nick Chinlund,4
Annabella Sciorra,4
Heather Locklear,4
Miranda Cosgrove,4
Mary McDonnell,4
Ariana Richards,4
Tyler Mane,4
Kevin Dillon,4
Jennifer Hudson,4
Adam Arkin,4
Moritz Bleibtreu,4
Tom Selleck,4
Merritt Wever,4
Franco Nero,4
Freddy Rodríguez,4
Jonathan Frakes,4
David Hyde Pierce,4
Peter Gerety,4
Jeremy Irvine,4
Mark Valley,4
Brooke Smith,4
Indira Varma,4
Rupert Evans,4
Alex Russell,4
Leon,4
Samantha Mathis,4
Marian Seldes,4
David Zayas,4
Abigail Spencer,4
Frances O'Connor,4
Kevin Grevioux,4
Vincent Regan,4
Eric Dane,4
Patrick Fischler,4
Tasha Smith,4
Alyson Stoner,4
Jacinda Barrett,4
Harvey Korman,4
Eileen Brennan,4
Michael Weston,4
Ray Walston,4
Martin Donovan,4
Ed Lauter,4
Ben Falcone,4
Matt Bomer,4
Olivia Munn,4
Taylor Negron,4
Jessica Szohr,4
Siobhan Fallon Hogan,4
Holland Taylor,4
Thomas Ian Nicholas,4
Christopher Judge,4
Carlos Ponce,4
Nicholas Braun,4
Madison Pettis,4
Kylie Minogue,4
Hill Harper,4
Bonnie Hunt,4
Conchata Ferrell,4
Craig Roberts,4
Dylan Walsh,4
Cheryl Hines,4
Olivier Martinez,4
Alice Krige,4
Dania Ramirez,4
Robert Picardo,4
Jay Mohr,4
Tim Daly,4
Valeria Golino,4
Gregory Smith,4
Alden Ehrenreich,4
Pruitt Taylor Vince,4
David Patrick Kelly,4
P.J. Soles,4
Fred Gwynne,4
Adam Garcia,4
Swoosie Kurtz,4
Luke Grimes,4
Brad Renfro,4
Enrico Colantoni,4
Robert Ri'chard,4
Joel McHale,4
Demián Bichir,4
John de Lancie,4
Sam Waterston,4
Dylan Moran,4
Richard Burton,4
Maggie Cheung,4
Debbie Reynolds,4
Randall Park,4
Jed Brophy,4
Dany Boon,4
Sally Kirkland,4
Nick Cannon,4
Sam Trammell,4
Jimmy Fallon,4
Anne Archer,4
Elizabeth Berkley,4
Riley Smith,4
Tim Guinee,4
Sarah Roemer,4
Jeff Kober,4
Daniella Alonso,4
Leonor Varela,4
Collette Wolfe,4
Lauren Ambrose,4
Kevin Connolly,4
Frank Finlay,4
Brian Van Holt,4
Drake Bell,4
Rosanna Arquette,4
Michiel Huisman,4
Terry Pheto,4
Kenny Baker,4
Cas Anvar,4
Simon Callow,4
Heather Matarazzo,4
Tony Nappo,4
Larry David,4
Yaya DaCosta,4
Aunjanue Ellis,4
Elizabeth McGovern,4
Mario Van Peebles,4
Paul Hogan,4
Katharine Isabelle,4
Laura Ramsey,4
Joseph Cotten,4
J.B. Smoove,4
Scott Mechlowicz,4
Kate Burton,4
Scout Taylor-Compton,4
Eva Amurri Martino,4
Romola Garai,4
Jason London,4
Chris Pontius,4
Taran Killam,4
Maximilian Schell,4
William McNamara,4
Lee Marvin,4
Lucas Grabeel,4
Vanessa Lengies,4
Janet Leigh,4
Tom Hollander,4
Edi Gathegi,4
Chris Brown,4
Geoffrey Arend,4
Lesley Manville,4
Nora Zehetner,4
Shelley Duvall,4
Katrina Bowden,4
Alanna Ubach,4
Sean Patrick Thomas,4
Carl Weathers,4
Barry Bostwick,4
Frank Vincent,4
Harland Williams,4
Rae Dawn Chong,4
Lee Majors,4
George C. Scott,4
Khandi Alexander,4
Jeremy Davies,4
Kate del Castillo,4
Ezra Miller,4
Julian Morris,4
Vincent Gallo,4
Lauren German,4
Shah Rukh Khan,4
Dee Wallace,4
Ted Raimi,4
Spencer Tracy,4
Denholm Elliott,4
Clu Gulager,4
Edie Falco,4
Randy Wayne,4
Woody Strode,4
Alex Kendrick,4
Montgomery Clift,4
Thomas Mitchell,4
Kirby Heyborne,4
Lauren Cohan,3
Giancarlo Giannini,3
